"visit_date","nb_visites","duree_moyenne","pct_femmes"
2025-04-09,86,274.87,24.42
2025-04-10,94,281.83,24.47
2025-04-11,107,244.16,21.5
2025-04-12,114,275.25,21.05
2025-04-14,72,401.62,27.78
2025-04-15,67,433.04,34.33
2025-04-16,124,235.48,21.77
2025-04-17,83,268.58,15.66
2025-04-18,126,245.44,28.57
2025-04-19,91,332.52,27.47
2025-04-22,67,247.84,20.9
2025-04-23,94,262.33,22.34
2025-04-24,74,279.2,29.73
2025-04-25,180,252.06,26.67
2025-04-26,33,707.58,21.21
2025-04-28,55,276.98,20
2025-04-29,54,246.11,20.37
2025-04-30,94,271.85,17.02
2025-05-01,42,285.24,23.81
2025-05-02,62,329.77,16.13
2025-05-03,82,212.51,17.07
2025-05-05,70,279.06,30
2025-05-06,73,301.14,30.14
2025-05-07,75,250.81,25.33
2025-05-08,81,343.16,22.22
2025-05-09,84,286.85,23.81
2025-05-10,80,291.35,21.25
2025-05-12,50,361.04,28
2025-05-13,57,279.33,28.07
2025-05-14,80,343.02,31.25
2025-05-15,72,524.39,23.61
2025-05-16,89,289.28,17.98
2025-05-17,86,349.84,33.72
2025-05-19,53,347.87,37.74
2025-05-20,68,273.99,27.94
2025-05-21,88,312.9,22.73
2025-05-22,100,225.61,34
2025-05-23,119,238.65,30.25
2025-05-24,50,292.48,18
2025-05-26,67,248.93,32.84
2025-05-27,83,256.23,22.89
2025-05-28,91,298.65,20.88
2025-05-29,62,244.73,33.87
2025-05-30,122,245.84,14.75
2025-05-31,22,320.27,31.82
2025-06-02,88,297.58,29.55
2025-06-03,111,220.28,31.53
2025-06-04,106,215.82,33.02
2025-06-05,103,241.93,26.21
2025-06-06,15,288.47,20
2025-06-07,76,219.04,22.37
2025-06-10,103,276.52,26.21
2025-06-11,92,245.8,31.52
2025-06-12,104,288.36,26.92
2025-06-13,126,264.18,24.6
2025-06-14,67,392.46,17.91
2025-06-15,20,401.95,20
2025-06-16,78,276.47,30.77
2025-06-17,100,300.06,29
2025-06-18,114,274.12,24.56
2025-06-19,68,251.41,25
2025-06-20,91,235.77,28.57
2025-06-21,127,261.39,22.05
2025-06-23,69,237.77,21.74
2025-06-24,86,266.09,18.6
2025-06-25,79,251.57,17.72
2025-06-26,71,275.25,36.62
2025-06-27,98,244.9,16.33
2025-06-28,64,284.08,20.31
2025-06-30,47,219.57,23.4
2025-07-01,62,278.97,24.19
2025-07-02,69,283.26,24.64
2025-07-03,90,226.03,22.22
2025-07-04,71,231.97,19.72
2025-07-05,90,276.51,28.89
2025-07-07,66,224.71,25.76
2025-07-08,65,283.38,16.92
2025-07-09,86,264.42,24.42
2025-07-10,88,298.18,19.32
2025-07-11,113,260.08,23.89
2025-07-12,92,306.55,20.65
2025-07-14,70,339.06,30
2025-07-15,53,353.02,28.3
2025-07-16,74,293.74,27.03
2025-07-17,83,287.71,36.14
2025-07-18,92,319.22,29.35
2025-07-19,63,307.92,22.22
2025-07-21,60,313.65,30
2025-07-22,69,265.3,27.54
2025-07-23,117,275.11,29.91
2025-07-24,99,332.11,29.29
2025-07-25,117,285.67,29.06
2025-07-26,129,311.49,22.48
2025-07-28,95,287.4,29.47
2025-07-29,92,222.07,30.43
2025-07-30,70,302.44,32.86
2025-07-31,77,303.55,18.18
2025-08-02,52,262.85,28.85
2025-08-04,35,256,20
2025-08-05,87,254.39,28.74
2025-08-06,86,297.02,25.58
2025-08-07,79,200.86,26.58
2025-08-08,68,295.96,25
2025-08-09,55,312.4,20
2025-08-12,27,310.81,25.93
2025-08-13,32,202.56,34.38
2025-08-14,17,329.24,17.65
2025-08-15,3,213,0
2025-08-16,3,600.33,33.33
2025-08-18,68,271.18,30.88
2025-08-19,60,303.85,28.33
2025-08-20,69,252.19,26.09
2025-08-21,67,346.01,34.33
2025-08-22,62,319.58,30.65
2025-08-23,42,325.02,16.67
2025-08-25,60,351.47,31.67
2025-08-26,79,287.23,20.25
2025-08-27,76,316.24,36.84
2025-08-28,86,326.53,26.74
2025-08-29,71,304.61,29.58
2025-08-30,68,328.04,26.47
2025-09-01,82,322.26,32.93
2025-09-02,96,259.89,22.92
2025-09-03,98,302.16,23.47
2025-09-04,2,649.5,0
2025-09-05,84,266.7,17.86
2025-09-06,114,314.16,24.56
2025-09-08,68,285.21,17.65
2025-09-09,73,262.9,27.4
2025-09-10,66,249.95,27.27
2025-09-11,61,298.75,24.59
2025-09-12,43,244.02,20.93
2025-09-13,40,369.02,5
2025-09-15,87,260.36,28.74
2025-09-16,90,306.51,28.89
2025-09-17,68,286.63,20.59
2025-09-18,84,323.36,23.81
2025-09-19,76,367.25,19.74
2025-09-20,45,376.27,17.78
2025-09-22,66,258.65,25.76
2025-09-23,60,307.58,21.67
2025-09-24,65,285.22,27.69
2025-09-25,72,261.82,30.56
2025-09-26,51,207.12,15.69
2025-09-27,53,317.13,20.75
2025-09-29,46,290.83,15.22
2025-09-30,86,288.98,22.09
2025-10-01,39,270.95,23.08
2025-10-02,78,235.69,23.08
2025-10-03,175,248.16,20
2025-10-04,182,543.36,16.48
2025-10-05,65,656.98,21.54
2025-10-06,53,239.87,28.3
2025-10-07,85,266.89,27.06
2025-10-08,61,302.51,24.59
2025-10-09,84,291.99,25
2025-10-10,80,235.04,33.75
2025-10-11,32,261.16,37.5
2025-10-13,67,253.97,19.4
2025-10-14,63,394.62,23.81
2025-10-15,70,226.96,21.43
2025-10-16,40,266.12,32.5
2025-10-17,86,249.47,36.05
2025-10-18,45,295.84,20
2025-10-20,59,260.08,23.73
2025-10-21,49,253.86,16.33
2025-10-22,63,293.65,19.05
2025-10-23,56,291.48,23.21
2025-10-24,68,278.65,19.12
2025-10-25,79,351.8,21.52
2025-10-27,44,329.09,22.73
2025-10-28,54,300.41,20.37
2025-10-29,43,257.6,23.26
2025-10-30,65,336.14,18.46
2025-10-31,64,236.42,15.62
2025-11-01,32,357.62,18.75
2025-11-03,62,290.29,27.42
2025-11-04,62,255.18,24.19
2025-11-05,70,311.23,24.29
2025-11-06,62,287.56,17.74
2025-11-07,68,277.9,22.06
2025-11-08,60,336.68,38.33
2025-11-10,59,303.37,28.81
2025-11-11,63,294.44,22.22
2025-11-12,83,198.71,27.71
2025-11-13,64,202.97,34.38
2025-11-14,83,200.9,22.89
2025-11-15,66,172.71,27.27
2025-11-16,10,76.4,50
2025-11-17,56,221.86,26.79
2025-11-18,43,212.72,25.58
2025-11-19,61,131.07,31.15
2025-11-20,49,207.92,22.45
2025-11-21,91,141.99,24.18
2025-11-22,41,207.56,21.95
2025-11-24,42,184.76,16.67
2025-11-25,30,177.47,23.33
2025-11-26,34,163.41,14.71
2025-11-27,48,146.9,33.33
2025-11-28,39,122.38,25.64
2025-11-29,24,138.33,25
2025-12-01,48,184.79,20.83
2025-12-02,60,189.62,15
2025-12-03,43,252.87,27.91
2025-12-04,47,268.41,14.89
2025-12-05,70,222.17,27.14
2025-12-06,36,257.03,33.33
2025-12-08,21,224.42,19.05
2025-12-09,27,96.17,18.52
