"Variable","%IncMSE","IncNodePurity","Importance_Relative","Categorie"
"nb_nouveaux_usagers",35.3171669384953,47968.7741848313,35.0048820273154,"Démographique"
"nb_espaces_actifs",19.8844148406273,20350.3696436263,19.7085909209685,"Comportemental"
"nb_visiteurs_ma7",11.6875333041984,15455.9933791359,11.5841886529649,"Historique"
"jour_semaine_num",5.88666285317557,2228.50406296209,5.83461122656997,"Temporel"
"nb_visiteurs_sd7",5.60738981797835,13059.9118497267,5.55780760674641,"Historique"
"nb_visiteurs_ma14",4.21045950966789,6658.56941631757,4.17322937237253,"Historique"
"nb_visiteurs_lag1",3.59496673609391,5315.89024718391,3.56317896925998,"Historique"
"mois",3.5923414622265,2474.20130701768,3.56057690884619,"Temporel"
"est_weekend",3.4273397934632,749.139187457893,3.39703423399268,"Temporel"
"heure_arrivee_moyenne",2.91345082703491,8584.22613469542,2.8876892268949,"Comportemental"
"pct_femmes",1.95671726909699,3589.92801255408,1.9394153920906,"Démographique"
"nb_visiteurs_lag7",1.41675698135546,3163.58772286569,1.40422959406937,"Historique"
"duree_moyenne_minutes",1.20084811174656,4083.40535098179,1.19022985500557,"Comportemental"
"est_fin_mois",0.421298113414515,347.455601124053,0.417572869989497,"Temporel"
"age_moyen",-0.00202463834689346,4937.14482513056,-0.00200673589148326,"Démographique"
"est_debut_mois",-0.223203755292534,475.177403702283,-0.221230121195045,"Temporel"
